var,value_t-test
ASC_PT,-0.0549 (0.482)
ASC_RIDEHAIL,-0.528 (4.18)
ASC_DRIVE,0.2 (2.41)
ASC_AV,-0.502 (3.41)
BETA_Walk_Pro_Walk,0.775 (12.0)
BETA_PT_Pro_Walk,-0.0482 (1.05)
BETA_PT_Pro_PT,0.698 (10.2)
BETA_RH_Pro_RH,0.568 (12.1)
BETA_Drive_Pro_Drive,0.596 (10.4)
BETA_AV_Pro_Walk,0.0271 (0.462)
BETA_AV_Pro_PT,-0.0542 (0.667)
BETA_AV_Pro_RH,0.415 (8.34)
BETA_AV_Pro_Drive,0.039 (0.74)
BETA_PT_Income_4000_less,0.129 (2.29)
BETA_PT_Income_12000_more,-0.0317 (0.433)
BETA_PT_Single,0.0685 (1.05)
BETA_PT_haveLicense,-0.171 (3.18)
BETA_PT_Chinese,-0.00817 (0.122)
BETA_PT_Commute,0.725 (11.0)
BETA_PT_fulltimeJob,0.0504 (0.94)
BETA_PT_highEducation,0.0689 (1.36)
BETA_PT_age_60_more,-0.0941 (0.937)
BETA_PT_age_35_less,0.0252 (0.449)
BETA_PT_moreThanOneCar,0.0769 (0.573)
BETA_PT_male,-0.0209 (0.436)
BETA_PT_kid_under18,-0.0136 (0.201)
BETA_RH_Income_4000_less,-0.0701 (1.09)
BETA_RH_Income_12000_more,0.127 (1.57)
BETA_RH_Single,-0.085 (1.14)
BETA_RH_haveLicense,-0.225 (3.74)
BETA_RH_Chinese,-0.343 (4.7)
BETA_RH_Commute,0.35 (5.87)
BETA_RH_fulltimeJob,0.169 (2.72)
BETA_RH_highEducation,0.0644 (1.11)
BETA_RH_age_60_more,-0.0273 (0.227)
BETA_RH_age_35_less,0.225 (3.48)
BETA_RH_moreThanOneCar,0.658 (4.59)
BETA_RH_male,-0.176 (3.13)
BETA_RH_kid_under18,0.211 (2.75)
BETA_Drive_Income_4000_less,-0.122 (1.22)
BETA_Drive_Income_12000_more,0.142 (1.7)
BETA_Drive_Single,0.165 (1.76)
BETA_Drive_haveLicense,0.2 (2.41)
BETA_Drive_Chinese,-0.138 (1.3)
BETA_Drive_Commute,0.396 (5.37)
BETA_Drive_fulltimeJob,-0.074 (0.937)
BETA_Drive_highEducation,0.0159 (0.226)
BETA_Drive_age_60_more,-0.119 (0.859)
BETA_Drive_age_35_less,0.174 (2.16)
BETA_Drive_moreThanOneCar,0.477 (3.42)
BETA_Drive_male,-0.0628 (0.955)
BETA_Drive_kid_under18,0.093 (1.04)
BETA_AV_Income_4000_less,-0.064 (0.924)
BETA_AV_Income_12000_more,0.0611 (0.713)
BETA_AV_Single,-0.114 (1.42)
BETA_AV_haveLicense,-0.0316 (0.47)
BETA_AV_Chinese,-0.167 (2.1)
BETA_AV_Commute,0.448 (6.87)
BETA_AV_fulltimeJob,0.187 (2.76)
BETA_AV_highEducation,0.123 (1.97)
BETA_AV_age_60_more,-0.0167 (0.129)
BETA_AV_age_35_less,0.327 (4.65)
BETA_AV_moreThanOneCar,0.317 (2.04)
BETA_AV_male,-0.0389 (0.661)
BETA_AV_kid_under18,0.237 (2.9)
SCALE_SP,1.44 (19.3)
sigma_s_tidle_PT,-0.488 (3.52)
sigma_s_tidle_RH,0.0235 (0.175)
sigma_s_tidle_Drive,-0.00295 (0.0271)
sigma_s_tidle_AV,-0.00459 (0.0616)
