var,value_t-test
ASC_PT,0.395 (3.6)
ASC_RIDEHAIL,-0.567 (4.62)
ASC_DRIVE,0.128 (1.66)
ASC_AV,-0.782 (5.58)
BETA_Walk_Inertia_Walk,0.13 (2.51)
BETA_PT_Inertia_Walk,-0.624 (9.96)
BETA_PT_Inertia_PT,-0.387 (8.06)
BETA_RH_Inertia_RH,1.15 (14.0)
BETA_Drive_Inertia_Drive,0.469 (1.96)
BETA_AV_Inertia_PT,0.324 (4.87)
BETA_AV_Inertia_RH,1.31 (12.2)
BETA_AV_Inertia_Drive,0.513 (2.7)
BETA_WALK_WALKTIME,-0.0447 (19.8)
BETA_BUS_COST,-0.199 (12.4)
BETA_BUS_IVTIME,-0.0195 (15.6)
BETA_BUS_WAITTIME,-0.0287 (7.9)
BETA_BUS_WALKTIME,-0.0319 (14.0)
BETA_RIDEHAIL_COST,-0.0575 (13.6)
BETA_RIDEHAIL_IVTIME,-0.027 (9.59)
BETA_RIDEHAIL_WAITTIME,-0.0403 (6.74)
BETA_DRIVE_COST,-0.104 (17.2)
BETA_DRIVE_IVTIME,-0.0342 (11.0)
BETA_DRIVE_WALKTIME,-0.0499 (5.08)
BETA_AV_COST,-0.0903 (16.0)
BETA_AV_IVTIME,-0.0324 (11.6)
BETA_AV_WAITTIME,-0.0404 (6.74)
BETA_PT_Income_4000_less,0.105 (2.12)
BETA_PT_Income_12000_more,0.0241 (0.366)
BETA_PT_Single,0.0385 (0.656)
BETA_PT_haveLicense,-0.155 (3.28)
BETA_PT_Chinese,-0.00213 (0.0358)
BETA_PT_Commute,0.559 (9.94)
BETA_PT_fulltimeJob,0.0485 (1.01)
BETA_PT_highEducation,0.0869 (1.92)
BETA_PT_age_60_more,0.00682 (0.0768)
BETA_PT_age_35_less,0.111 (2.22)
BETA_PT_moreThanOneCar,0.033 (0.277)
BETA_PT_male,-0.0109 (0.253)
BETA_PT_kid_under18,-0.0398 (0.657)
BETA_RH_Income_4000_less,-0.0744 (1.25)
BETA_RH_Income_12000_more,0.175 (2.32)
BETA_RH_Single,-0.0712 (1.03)
BETA_RH_haveLicense,-0.232 (4.13)
BETA_RH_Chinese,-0.328 (4.86)
BETA_RH_Commute,0.321 (5.52)
BETA_RH_fulltimeJob,0.157 (2.72)
BETA_RH_highEducation,0.105 (1.95)
BETA_RH_age_60_more,-0.0137 (0.124)
BETA_RH_age_35_less,0.316 (5.23)
BETA_RH_moreThanOneCar,0.426 (3.26)
BETA_RH_male,-0.101 (1.94)
BETA_RH_kid_under18,0.151 (2.14)
BETA_Drive_Income_4000_less,-0.0731 (0.802)
BETA_Drive_Income_12000_more,0.119 (1.55)
BETA_Drive_Single,0.0913 (1.07)
BETA_Drive_haveLicense,0.128 (1.66)
BETA_Drive_Chinese,-0.0437 (0.45)
BETA_Drive_Commute,0.32 (4.64)
BETA_Drive_fulltimeJob,-0.0153 (0.215)
BETA_Drive_highEducation,0.00209 (0.0326)
BETA_Drive_age_60_more,-0.0281 (0.223)
BETA_Drive_age_35_less,0.195 (2.68)
BETA_Drive_moreThanOneCar,0.363 (2.88)
BETA_Drive_male,-0.0292 (0.487)
BETA_Drive_kid_under18,0.077 (0.946)
BETA_AV_Income_4000_less,-0.0696 (1.08)
BETA_AV_Income_12000_more,0.124 (1.56)
BETA_AV_Single,-0.11 (1.47)
BETA_AV_haveLicense,-0.00348 (0.0581)
BETA_AV_Chinese,-0.152 (2.07)
BETA_AV_Commute,0.329 (5.27)
BETA_AV_fulltimeJob,0.178 (2.82)
BETA_AV_highEducation,0.132 (2.27)
BETA_AV_age_60_more,-0.0138 (0.115)
BETA_AV_age_35_less,0.419 (6.33)
BETA_AV_moreThanOneCar,0.164 (1.16)
BETA_AV_male,0.0251 (0.455)
BETA_AV_kid_under18,0.186 (2.46)
SCALE_SP,1.53 (20.8)
